client_id,referrer_code,city,postal_code,latitude,longitude,initial_visit_date,month,year,product_count
135,LOYAL CLIENT,Brampton,L6P1M3,43.774104,-79.672511,13/12/2012,12,2012,2
133,LOYAL CLIENT,Brampton,L6P1L9,43.773795,-79.67398,30/11/2012,11,2012,2
134,LOYAL CLIENT,Brampton,L6P1L9,43.773795,-79.67398,30/11/2012,11,2012,1
148,LOYAL CLIENT,Brampton,L6X0Y5,43.68657,-79.799345,11/06/2012,6,2012,2
149,LOYAL CLIENT,Brampton,L6V3T3,43.715496,-79.7693,24/04/2012,4,2012,2
123,LOYAL CLIENT,Brampton,L6P2M9,43.777451,-79.677479,12/04/2012,4,2012,2
70,LOYAL CLIENT,Brampton,L6P2Y1,43.782898,-79.682903,15/03/2012,3,2012,2
223,MEDIA,Brampton,L6Y4L3,43.654056,-79.761038,11/12/2012,12,2012,2
4,MEDIA,Brampton,L6P1L8,43.775235,-79.672987,09/10/2012,10,2012,1
137,MEDIA,Brampton,L6P1M3,43.774104,-79.672511,27/06/2012,6,2012,2
327,MEDIA,Brampton,L6R3E9,43.763688,-79.756523,02/06/2012,6,2012,1
328,MEDIA,Brampton,L6R3E9,43.763688,-79.756523,02/06/2012,6,2012,1
227,MEDIA,Brampton,L6Y3Y9,43.713346,-79.771651,12/03/2012,3,2012,1
228,MEDIA,Brampton,L6Y3Y9,43.713346,-79.771651,12/03/2012,3,2012,1
179,MEDIA,Brampton,L6P1H3,43.774525,-79.663243,30/01/2012,1,2012,0
3,OTHER CLIENTS,Brampton,L6P1L8,43.775235,-79.672987,17/12/2012,12,2012,1
2,OTHER CLIENTS,Brampton,L6P1L8,43.775235,-79.672987,11/12/2012,12,2012,2
138,OTHER CLIENTS,Brampton,L6P1M3,43.774104,-79.672511,10/10/2012,10,2012,2
212,OTHER CLIENTS,Brampton,L6Y5G6,43.647601,-79.732756,09/10/2012,10,2012,1
212,OTHER CLIENTS,Brampton,L6Y5G6,43.647601,-79.732756,09/10/2012,10,2012,1
270,OTHER CLIENTS,Brampton,L6P0Z6,43.782519,-79.67251,24/09/2012,9,2012,1
271,OTHER CLIENTS,Brampton,L6P0Z6,43.782519,-79.67251,24/09/2012,9,2012,0
325,OTHER CLIENTS,Brampton,L6P3N6,43.789057,-79.668946,24/07/2012,7,2012,1
1,OTHER CLIENTS,Brampton,L6P1L8,43.775235,-79.672987,12/07/2012,7,2012,1
